X,Y,ID,LOCN,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,LABEL,MAP_DESC,MPD_DESC,LD,FULLNAME,CDSCODE,CHARTER,MAP_TYPE_MAPPING,TOOLTIP,NLA_URL,Campus,Budget (incl c/o) FY24,Expenditures FY24,% Exp FY24
-13180026.7817141,4054262.26644305,703,8116,ROMER MS,6513 LAUREL CANYON BLVD,LOS ANGELES,91606,J,MS,Romer Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Roy Romer Middle School,19647330117044, ,MS,Name: Roy Romer Middle School\nAddress: 6513 LAUREL CANYON BLVD LOS ANGELES 91606,navigatela/reports/lausd_school_report.cfm?PK=703,ROMER MS,14890463.0,11052783.000000024,0.7422726210729662
-13187581.3627286,4061218.95352556,715,8363,SEPULVEDA MS,15330 PLUMMER ST,NORTH HILLS,91343,J,MS,Sepulveda Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Francisco Sepulveda Middle School,19647336058291, ,MS,Name: Francisco Sepulveda Middle School\nAddress: 15330 PLUMMER ST NORTH HILLS 91343,navigatela/reports/lausd_school_report.cfm?PK=715,SEPULVEDA MS,20753883.0,15560533.480000023,0.7497649225448569
-13165933.8685038,4019678.1166518,724,8160,GOMPERS MS,234 E 112TH ST,LOS ANGELES,90061,J,MS,Gompers Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Samuel Gompers Middle School,19647336058028, ,MS,Name: Samuel Gompers Middle School\nAddress: 234 E 112TH ST LOS ANGELES 90061,navigatela/reports/lausd_school_report.cfm?PK=724,GOMPERS MS,10509851.0,8952860.899999961,0.8518542175336227
-13163043.5360843,4000234.52415535,726,9585,WILMINGTON EEC,1419 YOUNG ST,WILMINGTON,90744,Z,ES,Wilmington EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,Wilmington Early Education Center, , ,ES,Name: Wilmington Early Education Center\nAddress: 1419 YOUNG ST WILMINGTON 90744,navigatela/reports/lausd_school_report.cfm?PK=726,WILMINGTON EEC,3003853.0,2614914.640000003,0.8705201752549152
-13154413.1985111,4033900.11221244,789,1953,PEREZ SP ED CTR,4540 MICHIGAN AVE,LOS ANGELES,90022,H,SS,Perez Spec Ed Ctr,"Span School (Span School, Special Ed School)",Handicapped (Special Ed),0,Alphonso B. Perez Special Education Center,19647336060545, ,SS,Name: Alphonso B. Perez Special Education Center\nAddress: 4540 MICHIGAN AVE LOS ANGELES 90022,navigatela/reports/lausd_school_report.cfm?PK=789,PEREZ SP ED CTR,14250598.0,15006749.129999952,1.0530610104923284
-13201017.1773461,4051724.9245377,792,8344,WOODLAND HILLS ACAD,20800 BURBANK BLVD,WOODLAND HILLS,91367,J,MS,Woodland Hills Acad,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Woodland Hills Academy Middle School,19647336061568,Y,MS,Name: Woodland Hills Academy Middle School\nAddress: 20800 BURBANK BLVD WOODLAND HILLS 91367,navigatela/reports/lausd_school_report.cfm?PK=792,WOODLAND HILLS ACAD,9969665.0,8347292.920000013,0.837269147960339
-13186040.6160946,4051527.87453636,797,8434,VAN NUYS MS,5435 VESPER AVE,VAN NUYS,91411,J,MS,Van Nuys Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Van Nuys Middle School,19647336058333, ,MS,Name: Van Nuys Middle School\nAddress: 5435 VESPER AVE VAN NUYS 91411,navigatela/reports/lausd_school_report.cfm?PK=797,VAN NUYS MS,14490953.0,12118912.44999998,0.8363088645722597
-13178740.8088987,4049312.60079338,800,8355,REED MS,4525 IRVINE AVE,NO HOLLYWOOD,91602,J,MS,Reed Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Walter Reed Middle School,19647336062699, ,MS,Name: Walter Reed Middle School\nAddress: 4525 IRVINE AVE NO HOLLYWOOD 91602,navigatela/reports/lausd_school_report.cfm?PK=800,REED MS,16862099.0,15216047.629999992,0.902381585471654
-13182299.1193545,4027087.76134032,819,9533,MARINA EEC,4908 WESTLAWN AVE,LOS ANGELES,90066,Z,ES,Marina EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,Marina Early Education Center, , ,ES,Name: Marina Early Education Center\nAddress: 4908 WESTLAWN AVE LOS ANGELES 90066,navigatela/reports/lausd_school_report.cfm?PK=819,MARINA EEC,2202619.0,2066808.7799999975,0.9383414834794386
-13185785.3711929,4070701.06946476,820,8306,OLIVE VISTA MS,14600 TYLER ST,SYLMAR,91342,J,MS,Olive Vista Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Olive Vista Middle School,19647336061550, ,MS,Name: Olive Vista Middle School\nAddress: 14600 TYLER ST SYLMAR 91342,navigatela/reports/lausd_school_report.cfm?PK=820,OLIVE VISTA MS,15956504.0,15053225.679999989,0.9433912140152999
