X,Y,ID,LOCN,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,LABEL,MAP_DESC,MPD_DESC,LD,FULLNAME,CDSCODE,CHARTER,MAP_TYPE_MAPPING,TOOLTIP,NLA_URL,Campus,Budget (incl c/o) FY24,Expenditures FY24,% Exp FY24,Pct_Met_Above,Mean_Score,Participation Rate (%),Funding_Level
-13170975.3609432,4041547.53218468,500,8226,LE CONTE MS,1316 N BRONSON AVE,HOLLYWOOD,90028,J,MS,Le Conte Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Joseph Le Conte Middle School,19647336061501, ,MS,Name: Joseph Le Conte Middle School\nAddress: 1316 N BRONSON AVE HOLLYWOOD 90028,navigatela/reports/lausd_school_report.cfm?PK=500,LE CONTE MS,13258809.0,9629093.520000003,0.7262412121631742,26.4175,2484.133333333333,95.34257317168156,Low
-13159897.0913294,4026159.85603811,508,8151,GAGE MS,2880 E GAGE AVE,HUNTINGTON PARK,90255,J,MS,Gage Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Henry T. Gage Middle School,19647336061469, ,MS,Name: Henry T. Gage Middle School\nAddress: 2880 E GAGE AVE HUNTINGTON PARK 90255,navigatela/reports/lausd_school_report.cfm?PK=508,GAGE MS,19790475.0,17322338.410000008,0.875286642185193,35.19,2502.0,96.61342743535938,High
-13182064.1995048,4055207.95420699,515,8230,MADISON MS,13000 HART ST,NO HOLLYWOOD,91605,J,MS,Madison Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,James Madison Middle School,19647336061519, ,MS,Name: James Madison Middle School\nAddress: 13000 HART ST NO HOLLYWOOD 91605,navigatela/reports/lausd_school_report.cfm?PK=515,MADISON MS,20861146.0,18797204.480000038,0.9010628888748506,29.2875,2486.9666666666667,94.35602760205217,High
-13158529.0069495,4046507.25757453,551,8614,EAGLE ROCK HS,1750 YOSEMITE DR,LOS ANGELES,90041,EJ,SS,Eagle Rock High,"Span School (Span School, Special Ed School)",Span School,0,Eagle Rock High School,19647331932540, ,SS,Name: Eagle Rock High School\nAddress: 1750 YOSEMITE DR LOS ANGELES 90041,navigatela/reports/lausd_school_report.cfm?PK=551,EAGLE ROCK HS,26919175.0,24744678.009999964,0.919221261795726,65.45,2600.0,95.40385641528134,High
-13167769.1353273,4022291.21314119,555,8170,HARTE PREP MS,9301 S HOOVER ST,LOS ANGELES,90044,J,MS,Harte Prep Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Bret Harte Preparatory Middle School,19647336058044, ,MS,Name: Bret Harte Preparatory Middle School\nAddress: 9301 S HOOVER ST LOS ANGELES 90044,navigatela/reports/lausd_school_report.cfm?PK=555,HARTE PREP MS,11262873.0,9703992.610000042,0.861591230763238,16.2225,2436.633333333333,99.59896989549271,Low
-13166536.9826995,4031127.55946024,556,8062,CLINTON MS,3500 SOUTH HILL ST,LOS ANGELES,90071,J,MS,Clinton Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,William Jefferson Clinton Middle School,19647330112011, ,MS,Name: William Jefferson Clinton Middle School\nAddress: 3500 SOUTH HILL ST LOS ANGELES 90071,navigatela/reports/lausd_school_report.cfm?PK=556,CLINTON MS,11376751.0,10948820.319999997,0.962385510590853,26.27,2476.1,94.18307071534868,Low
-13169241.3599068,4013086.9771092,557,8352,PEARY MS,1415 W GARDENA BLVD,GARDENA,90247,J,MS,Peary Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Robert E. Peary Middle School,19647336061576, ,MS,Name: Robert E. Peary Middle School\nAddress: 1415 W GARDENA BLVD GARDENA 90247,navigatela/reports/lausd_school_report.cfm?PK=557,PEARY MS,21101260.0,17576067.580000006,0.8329392453341652,29.9925,2492.4,98.21678885090544,High
-13167995.8314977,4038730.47812693,580,8462,VIRGIL MS,152 N VERMONT AVE,LOS ANGELES,90004,J,MS,Virgil Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Virgil Middle School,19647336058341, ,MS,Name: Virgil Middle School\nAddress: 152 N VERMONT AVE LOS ANGELES 90004,navigatela/reports/lausd_school_report.cfm?PK=580,VIRGIL MS,16673742.0,14480099.909999993,0.8684373255865415,41.8075,2513.866666666667,96.34172252560656,High
-13184064.7883236,4032575.45659092,588,8481,WEBSTER MS,11330 W GRAHAM PL,LOS ANGELES,90064,J,MS,Webster Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Daniel Webster Middle School,19647336058358, ,MS,Name: Daniel Webster Middle School\nAddress: 11330 W GRAHAM PL LOS ANGELES 90064,navigatela/reports/lausd_school_report.cfm?PK=588,WEBSTER MS,9799401.0,7778380.359999996,0.7937607982365449,29.642500000000002,2497.866666666667,98.03382904192686,Low
-13201583.7997112,4062880.33140588,603,8217,LAWRENCE MS,10100 VARIEL AVE,CHATSWORTH,91311,J,MS,Lawrence Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Ernest Lawrence Middle School,19647336058093, ,MS,Name: Ernest Lawrence Middle School\nAddress: 10100 VARIEL AVE CHATSWORTH 91311,navigatela/reports/lausd_school_report.cfm?PK=603,LAWRENCE MS,14000136.0,12318540.530000016,0.8798872046671559,45.99,2529.1666666666665,98.62720045996187,High
